X,Y,OID_,Name,FolderPath,SymbolID,AltMode,Base,Snippet,PopupInfo,HasLabel,LabelID
-23.0,12.0,"0","13001",Marine Obs via NDBC/Marine Obs by Program/Marine Obs by Program/International Partners,"0","-1",0.00000000000,Station 13001 - NE Extension,"<b>Prediction and Research Moored Array in the Atlantic</b><br /><b>Location:</b> 12N 23W
<br /><b>03/12/2020 1300 UTC</b><br /><b>Winds:</b> NE (46Â°) at 8.6 kts gusting to 10.5<br />
<b>Atmospheric Pressure:</b> 29.89 in <br />
<b>Air Temperature:</b>","-1","0"
-23.0,21.0,"0","13002",Marine Obs via NDBC/Marine Obs by Program/Marine Obs by Program/International Partners,"0","-1",0.00000000000,Station 13002 - NE Extension,"<b>Prediction and Research Moored Array in the Atlantic</b><br /><b>Location:</b> 21N 23W
<br /><b>03/12/2020 1300 UTC</b><br /><b>Winds:</b> NE (52Â°) at 10.9 kts gusting to 12.6<br />
<b>Air Temperature:</b> 68.5 Â°F<br />
","-1","0"
-38.0,15.0,"0","13008",Marine Obs via NDBC/Marine Obs by Program/Marine Obs by Program/International Partners,"0","-1",0.00000000000,Station 13008 - Reggae,"<b>Prediction and Research Moored Array in the Atlantic</b><br /><b>Location:</b> 15N 38W
<br /><b>03/12/2020 1300 UTC</b><br /><b>Winds:</b> ENE (67Â°) at 11.5 kts gusting to 13.4<br />
<b>Atmospheric Pressure:</b> 30.00 in <br />
<b>Air Temperature:</b","-1","0"
-38.0,8.0,"0","13009",Marine Obs via NDBC/Marine Obs by Program/Marine Obs by Program/International Partners,"0","-1",0.00000000000,Station 13009 - Lambada,<b>Prediction and Research Moored Array in the Atlantic</b><br /><br /><b>No recent data</b><br />,"-1","0"
0.0,0.0,"0","13010",Marine Obs via NDBC/Marine Obs by Program/Marine Obs by Program/International Partners,"0","-1",0.00000000000,Station 13010 - Soul,"<b>Prediction and Research Moored Array in the Atlantic</b><br /><b>Location:</b> 0 0
<br /><b>03/12/2020 0900 UTC</b><br /><b>Winds:</b> SSW (203Â°) at 8.2 kts<br />
<b>Air Temperature:</b> 84.6 Â°F<br />
<b>Water Temperature:</b> 85.3 Â°F<br />
","-1","0"
67.0,-8.0,"0","14040",Marine Obs via NDBC/Marine Obs by Program/Marine Obs by Program/International Partners,"0","-1",0.00000000000,Station 14040 -,"<b>Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction</b><br /><b>Location:</b> 8S 67E
<br /><b>03/12/2020 1300 UTC</b><br /><b>Winds:</b> NNW (341Â°) at 7.8 kts gusting to 10.3<br />
<b>Atmospheric Pressure:</b> 29.79 in","-1","0"
55.0,-8.0,"0","14041",Marine Obs via NDBC/Marine Obs by Program/Marine Obs by Program/International Partners,"0","-1",0.00000000000,Station 14041 -,"<b>Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction</b><br /><b>Location:</b> 8S 55E
<br /><b>03/12/2020 1400 UTC</b><br /><b>Winds:</b> NW (308Â°) at 11.7 kts<br />
<b>Atmospheric Pressure:</b> 29.79 in <br />
<b>Air Te","-1","0"
67.0,-12.0,"0","14043",Marine Obs via NDBC/Marine Obs by Program/Marine Obs by Program/International Partners,"0","-1",0.00000000000,Station 14043 -,<b>Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction</b><br /><br /><b>No recent data</b><br />,"-1","0"
57.0,-4.0,"0","14047",Marine Obs via NDBC/Marine Obs by Program/Marine Obs by Program/International Partners,"0","-1",0.00000000000,Station 14047 -,"<b>Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction</b><br /><b>Location:</b> 4S 57E
<br /><b>03/12/2020 1400 UTC</b><br /><b>Winds:</b> SSE (165Â°) at 7.2 kts<br />
<b>Air Temperature:</b> 85.5 Â°F<br />
<b>Water Temper","-1","0"
-10.0,-10.0,"0","15001",Marine Obs via NDBC/Marine Obs by Program/Marine Obs by Program/International Partners,"0","-1",0.00000000000,Station 15001 - Gavotte,"<b>Prediction and Research Moored Array in the Atlantic</b><br /><b>Location:</b> 10S 10W
<br /><b>03/12/2020 1300 UTC</b><br /><b>Winds:</b> ESE (117Â°) at 10.5 kts gusting to 12.2<br />
<b>Atmospheric Pressure:</b> 29.91 in <br />
<b>Air Temperature:</","-1","0"
